booked_today_list,delivery,expensive,genre,location,num_reviews_list,rating_list,rest_name
,Delivery,  $    $    $    ,Mexican,TriBeCa - Downtown,(539),4.5 stars out of 5,Añejo Tribeca
,Delivery,  $    $      ,American,South Street Seaport,(712),4.4 stars out of 5,Industry Kitchen
,Delivery,  $    $    $    ,Seafood,Upper West Side,(3184),4.7 stars out of 5,The Mermaid Inn Uptown
,Delivery,  $    $    $    $  ,Japanese,Lower East Side,(653),4.6 stars out of 5,Blue Ribbon Sushi Izakaya
,Delivery,  $    $    $    ,Fusion / Eclectic,Lower East Side,(2501),4.3 stars out of 5,Essex
,Delivery,  $    $    $    ,Mexican,SoHo,(1147),4.3 stars out of 5,Dos Caminos - SoHo
,Delivery,  $    $      ,Italian,Little Italy,(896),4.6 stars out of 5,Da Nico Ristorante - Manhattan Location
,Delivery,  $    $    $    $  ,Cocktail Bar,SoHo,(6),4.2 stars out of 5,ART SoHo
,Delivery,  $    $    $    ,Italian,SoHo,(642),4.5 stars out of 5,SAN CARLO  Osteria Piemonte
,Delivery,  $    $    $    ,French,Upper West Side,(490),4.5 stars out of 5,La Sirene UWS
,Delivery,  $    $    $    $  ,Steakhouse,East Village,(763),4.7 stars out of 5,Bowery Meat Company
,Delivery,  $    $    $    ,Italian,Upper East Side,(1322),4.7 stars out of 5,Sfoglia
,Delivery,  $    $    $    ,Seafood,SoHo,(3580),4.7 stars out of 5,Lure New York
,Delivery,  $    $    $    ,American,Financial District,(200),4.5 stars out of 5,PJ Clarkes on the Hudson
,Delivery,  $    $      ,Italian,Little Italy,(815),4.3 stars out of 5,Aunt Jake's Little Italy
,Delivery,  $    $    $    ,Italian,Upper East Side,(949),4.7 stars out of 5,Caravaggio New York
,Delivery,  $    $    $    ,Italian,Upper West Side,(2984),4.3 stars out of 5,Arte Cafe - Upper West Side
,Delivery,  $    $      ,Steakhouse,Financial District,(712),4.4 stars out of 5,Brooklyn Chop House
,Delivery,  $    $    $    ,Steakhouse,Upper East Side,(1508),4.7 stars out of 5,T-BAR Steak & Lounge (Upper East Side)
,Delivery,  $    $      ,American,Upper East Side,(522),4.5 stars out of 5,Bocado Cafe
,Delivery,  $    $    $    $  ,Korean,SoHo,(177),4.5 stars out of 5,The Woo
,Delivery,  $    $    $    ,Italian,TriBeCa - Downtown,(448),4.5 stars out of 5,Gran Morsi
,Delivery,  $    $    $    ,Italian,Little Italy,(1070),4.3 stars out of 5,Il Cortile Restaurant
,Delivery,  $    $      ,Italian,East Village,(338),4.7 stars out of 5,Gnoccheria by Luzzo's
,Delivery,  $    $      ,Georgian,Upper East Side,(104),4.5 stars out of 5,Oda House - Upper East Side
,Delivery,  $    $    $    $  ,Greek,Upper West Side,(519),4.7 stars out of 5,Elea
,Delivery,  $    $      ,Italian,Upper East Side,(91),4.5 stars out of 5,Numero 28
,Delivery,  $    $      ,Mediterranean,SoHo,(946),4.3 stars out of 5,NOMO Kitchen
,Delivery,  $    $    $    ,Italian,Upper West Side,(6021),4.5 stars out of 5,Carmine's - 91st Street - NYC
,Delivery,  $    $    $    ,Italian,Upper East Side,(337),4.5 stars out of 5,Felice 83
