booked_today_list,delivery,expensive,genre,location,num_reviews_list,rating_list,rest_name
, Takeout,  $    $    $    ,Italian,Harlem,(2),5 stars out of 5,Osteria Laura NYC
,,  $    $      ,Cuban,Harlem,(398),4.5 stars out of 5,Amor Cubano
, Takeout,  $    $    $    ,Italian,Financial District,(230),4.5 stars out of 5,Giardino D'Oro
,2,  $    $      ,American,Harlem,(300),4.6 stars out of 5,The Grange
, Takeout,  $    $      ,Latin / Spanish,Inwood (Manhattan),,,Chef Papi's Kitchens by Luxor NY
, Takeout,  $    $    $    ,Mediterranean,SoHo,(752),4.4 stars out of 5,Pera Soho
,2,  $    $      ,Italian,Greenwich Village,(5270),4.6 stars out of 5,Lupa
, Takeout,  $    $      ,French,SoHo,(1643),4.3 stars out of 5,Laduree SOHO
,,  $    $      ,Italian,SoHo,(547),4.8 stars out of 5,Piccola Cucina Estiatorio
,,  $    $    $    ,American,SoHo,(404),4.7 stars out of 5,The Crosby Bar
,2,  $    $    $    ,Contemporary Indian,East Village,(391),4.5 stars out of 5,BAAR BAAR
, Takeout,  $    $    $    ,Italian,East Village,(1348),4.8 stars out of 5,Lavagna - NYC
,2,  $    $    $    ,Italian,Upper West Side,(1493),4.5 stars out of 5,Pappardella
,,  $    $    $    $  ,French,Upper East Side,(2375),4.5 stars out of 5,Orsay
, Takeout,  $    $    $    ,American,West Village,(1066),4.7 stars out of 5,The Clam
,,  $    $    $    ,Mediterranean,SoHo,(649),4.6 stars out of 5,Antique Garage Soho
, Takeout,  $    $    $    ,British,Upper East Side,(268),4.5 stars out of 5,Jones Wood Foundry
, Takeout,  $    $    $    ,Indian,TriBeCa - Downtown,(3384),4.7 stars out of 5,Tamarind - Tribeca
, Takeout,  $    $    $    ,Italian,Upper East Side,(753),4.8 stars out of 5,Sistina
,2,  $    $    $    ,Italian,SoHo,(282),4.6 stars out of 5,Sola Pasta Bar
,2,  $    $    $    ,Turkish,Upper East Side,(775),4.4 stars out of 5,A La Turka Restaurant
, Takeout,  $    $      ,Italian,Upper East Side,(613),4.6 stars out of 5,Bottega
, Takeout,  $    $    $    ,Mediterranean,Upper West Side,(285),4.3 stars out of 5,8th Hill Inspired Mediterranean Cuisine
,,  $    $    $    $  ,Contemporary American,Lower East Side,(1139),4.4 stars out of 5,Hotel Chantelle
,2,  $    $    $    ,French,Upper East Side,(747),4.5 stars out of 5,Brasserie Cognac East
,2,  $    $      ,American,Upper East Side,(56),4.4 stars out of 5,The Meatball Shop - Upper East Side
,2,  $    $    $    $  ,Sushi,Upper West Side,(29),4.9 stars out of 5,Sushi Nonaka
,,  $    $    $    ,Seafood,Upper West Side,(3184),4.7 stars out of 5,The Mermaid Inn Uptown
, Takeout,  $    $    $    ,Mexican,TriBeCa - Downtown,(539),4.5 stars out of 5,Añejo Tribeca
, Takeout,  $    $      ,American,South Street Seaport,(712),4.4 stars out of 5,Industry Kitchen
,2,  $    $    $    $  ,Japanese,Lower East Side,(653),4.6 stars out of 5,Blue Ribbon Sushi Izakaya
, Takeout,  $    $    $    ,Mexican,SoHo,(1147),4.3 stars out of 5,Dos Caminos - SoHo
,2,  $    $    $    ,Fusion / Eclectic,Lower East Side,(2501),4.3 stars out of 5,Essex
,,  $    $    $    $  ,Cocktail Bar,SoHo,(6),4.2 stars out of 5,ART SoHo
, Takeout,  $    $      ,Italian,Little Italy,(896),4.6 stars out of 5,Da Nico Ristorante - Manhattan Location
, Takeout,  $    $    $    ,Italian,SoHo,(642),4.5 stars out of 5,SAN CARLO  Osteria Piemonte
, Takeout,  $    $    $    ,French,Upper West Side,(490),4.5 stars out of 5,La Sirene UWS
, Takeout,  $    $    $    ,Italian,Upper East Side,(1322),4.7 stars out of 5,Sfoglia
,,  $    $    $    $  ,Steakhouse,East Village,(763),4.7 stars out of 5,Bowery Meat Company
, Takeout,  $    $    $    ,Seafood,SoHo,(3580),4.7 stars out of 5,Lure New York
, Takeout,  $    $    $    ,Italian,Upper East Side,(949),4.7 stars out of 5,Caravaggio New York
, Takeout,  $    $    $    ,American,Financial District,(200),4.5 stars out of 5,PJ Clarkes on the Hudson
, Delivery partners,  $    $      ,Italian,Little Italy,(815),4.3 stars out of 5,Aunt Jake's Little Italy
,2,  $    $      ,Steakhouse,Financial District,(713),4.4 stars out of 5,Brooklyn Chop House
, Delivery partners,  $    $    $    ,Steakhouse,Upper East Side,(1508),4.7 stars out of 5,T-BAR Steak & Lounge (Upper East Side)
,,  $    $    $    ,Italian,Upper West Side,(2984),4.3 stars out of 5,Arte Cafe - Upper West Side
, Takeout,  $    $    $    $  ,Korean,SoHo,(177),4.5 stars out of 5,The Woo
,,  $    $      ,American,Upper East Side,(522),4.5 stars out of 5,Bocado Cafe
,2,  $    $    $    ,Italian,TriBeCa - Downtown,(448),4.5 stars out of 5,Gran Morsi
, Takeout,  $    $      ,Italian,East Village,(338),4.7 stars out of 5,Gnoccheria by Luzzo's
,2,  $    $    $    ,Italian,Little Italy,(1070),4.3 stars out of 5,Il Cortile Restaurant
,2,  $    $      ,Georgian,Upper East Side,(104),4.5 stars out of 5,Oda House - Upper East Side
, Takeout,  $    $      ,Mediterranean,SoHo,(946),4.3 stars out of 5,NOMO Kitchen
, Takeout,  $    $    $    $  ,Greek,Upper West Side,(519),4.7 stars out of 5,Elea
,2,  $    $      ,Contemporary American,Upper East Side,(1599),4.5 stars out of 5,Sojourn Restaurant
,2,  $    $    $    ,Italian,SoHo,(365),4.7 stars out of 5,Emporio
,2,  $    $      ,Italian,Upper East Side,(91),4.5 stars out of 5,Numero 28
,2,  $    $    $    ,Italian,Upper West Side,(6021),4.5 stars out of 5,Carmine's - 91st Street - NYC
, Takeout,  $    $    $    ,American,Battery Park,(1104),4.3 stars out of 5,Merchants River House
, Delivery partners,  $    $    $    ,Italian,Upper East Side,(337),4.5 stars out of 5,Felice 83
,,  $    $      ,French,Lower East Side,(76),4.5 stars out of 5,LENA
, Delivery partners,  $    $    $    ,Indian,TriBeCa - Downtown,(32),4.2 stars out of 5,Paisley Restaurant
,2,  $    $      ,American,Upper East Side,(648),4.2 stars out of 5,Eats
, Takeout,  $    $    $    ,French,SoHo,(502),4.6 stars out of 5,Bistro Les Amis
,2,  $    $      ,Italian,Battery Park,(1540),4.5 stars out of 5,Gigino at Wagner Park
,,  $    $      ,Italian,Little Italy,(1151),4.6 stars out of 5,La Mela
,2,  $    $      ,Steakhouse,Battery Park,(395),4.4 stars out of 5,Del Frisco's Grille - Brookfield Place
,2,  $    $    $    ,Japanese,TriBeCa - Downtown,(60),4.4 stars out of 5,Zutto Japanese American Pub
